BioProject,Run,Trips_id,file_name,study_name,study_srp,study_gse,PMID,organism,transcriptome
PRJNA279785,SRR1945002,1,SRR1945002,Nedialkova15,SRP056647,GSE67387,26052047,caenorhabditis_elegans,Ensembl_2011
PRJNA279785,SRR1945003,2,SRR1945003,Nedialkova15,SRP056647,GSE67387,26052047,caenorhabditis_elegans,Ensembl_2011
PRJNA279785,SRR1945004,3,SRR1945004,Nedialkova15,SRP056647,GSE67387,26052047,caenorhabditis_elegans,Ensembl_2011
PRJNA279785,SRR1945005,4,SRR1945005,Nedialkova15,SRP056647,GSE67387,26052047,caenorhabditis_elegans,Ensembl_2011
PRJNA213294,SRR942881,9,SRR942881,Dunn13,SRP028243,GSE49197,24302569,drosophila_melanogaster,Flybase
PRJNA213294,SRR942880,10,SRR942880,Dunn13,SRP028243,GSE49197,24302569,drosophila_melanogaster,Flybase
PRJNA213294,SRR942869,11,SRR942869,Dunn13,SRP028243,GSE49197,24302569,drosophila_melanogaster,Flybase
PRJNA213294,SRR942868,12,SRR942868,Dunn13,SRP028243,GSE49197,24302569,drosophila_melanogaster,Flybase
PRJNA213294,SRR942878,13,SRR942878,Dunn13,SRP028243,GSE49197,24302569,drosophila_melanogaster,Flybase
PRJNA213294,SRR942879,14,SRR942879,Dunn13,SRP028243,GSE49197,24302569,drosophila_melanogaster,Flybase
PRJNA213294,SRR942870,15,SRR942870,Dunn13,SRP028243,GSE49197,24302569,drosophila_melanogaster,Flybase
PRJNA213294,SRR942871,16,SRR942871,Dunn13,SRP028243,GSE49197,24302569,drosophila_melanogaster,Flybase
PRJNA213294,SRR942876,17,SRR942876,Dunn13,SRP028243,GSE49197,24302569,drosophila_melanogaster,Flybase
PRJNA213294,SRR942877,18,SRR942877,Dunn13,SRP028243,GSE49197,24302569,drosophila_melanogaster,Flybase
PRJNA213294,SRR942874,19,SRR942874,Dunn13,SRP028243,GSE49197,24302569,drosophila_melanogaster,Flybase
PRJNA213294,SRR942875,20,SRR942875,Dunn13,SRP028243,GSE49197,24302569,drosophila_melanogaster,Flybase
PRJDB2960,DRR021386,23,RP_Cm_smpB,Nakahigashi16,DRP003075,Nakahigashi16,nan,escherichia_coli,Ensembl_k_12_ASM584v2
PRJDB2960,DRR021387,24,RP_tet_WT1,Nakahigashi16,DRP003075,Nakahigashi16,nan,escherichia_coli,Ensembl_k_12_ASM584v2
PRJDB2960,DRR021389,25,RP_tet_WT3,Nakahigashi16,DRP003075,Nakahigashi16,nan,escherichia_coli,Ensembl_k_12_ASM584v2
PRJDB2960,DRR021385,26,RP_Cm_WT3_Mnase,Nakahigashi16,DRP003075,Nakahigashi16,nan,escherichia_coli,Ensembl_k_12_ASM584v2
PRJDB2960,DRR021384,27,RP_Cm_WT2,Nakahigashi16,DRP003075,Nakahigashi16,nan,escherichia_coli,Ensembl_k_12_ASM584v2
PRJDB2960,DRR021383,28,RP_Cm_WT1,Nakahigashi16,DRP003075,Nakahigashi16,nan,escherichia_coli,Ensembl_k_12_ASM584v2
PRJDB2960,DRR021388,29,RP_tet_WT2,Nakahigashi16,DRP003075,Nakahigashi16,nan,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA271104,SRR1734431,33,SRR1734431,Woolstenhulme15,SRP051520,GSE64488,25843707,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA271105,SRR1734430,34,SRR1734430,Woolstenhulme15,SRP051520,GSE64488,25843707,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA271106,SRR1734433,35,SRR1734433,Woolstenhulme15,SRP051520,GSE64488,25843707,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA271107,SRR1734432,36,SRR1734432,Woolstenhulme15,SRP051520,GSE64488,25843707,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA271108,SRR1734435,37,SRR1734435,Woolstenhulme15,SRP051520,GSE64488,25843707,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA271109,SRR1734434,38,SRR1734434,Woolstenhulme15,SRP051520,GSE64488,25843707,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA271110,SRR1734437,39,SRR1734437,Woolstenhulme15,SRP051520,GSE64488,25843707,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA271111,SRR1734436,40,SRR1734436,Woolstenhulme15,SRP051520,GSE64488,25843707,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA271112,SRR1734439,41,SRR1734439,Woolstenhulme15,SRP051520,GSE64488,25843707,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA271113,SRR1734438,42,SRR1734438,Woolstenhulme15,SRP051520,GSE64488,25843707,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA271114,SRR1734438,43,SRR1734440,Woolstenhulme15,SRP051520,GSE64488,25843707,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA271115,SRR1734441,44,SRR1734441,Woolstenhulme15,SRP051520,GSE64488,25843707,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA271116,SRR1734442,45,SRR1734442,Woolstenhulme15,SRP051520,GSE64488,25843707,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA271117,SRR1734443,46,SRR1734443,Woolstenhulme15,SRP051520,GSE64488,25843707,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA271118,SRR1734444,47,SRR1734444,Woolstenhulme15,SRP051520,GSE64488,25843707,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA232843,SRR1067772,48,SRR1067772,Li14,SRP034871,GSE53767,24766808,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA232843,SRR1067768,49,SRR1067768,Li14,SRP034871,GSE53767,24766808,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA232843,SRR1067769,50,SRR1067769,Li14,SRP034871,GSE53767,24766808,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA232843,SRR1067771,51,SRR1067771,Li14,SRP034871,GSE53767,24766808,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA232843,SRR1067767,52,SRR1067767,Li14,SRP034871,GSE53767,24766808,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA232843,SRR1067765,53,SRR1067765,Li14,SRP034871,GSE53767,24766808,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA232843,SRR1067766,54,SRR1067766,Li14,SRP034871,GSE53767,24766808,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA232843,SRR1067770,55,SRR1067770,Li14,SRP034871,GSE53767,24766808,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205933,SRR869835,58,SRR869835,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205934,SRR869834,59,SRR869834,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205935,SRR869833,60,SRR869833,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205936,SRR869832,61,SRR869832,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205937,SRR869818,62,SRR869818,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205938,SRR869830,63,SRR869830,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205939,SRR869831,64,SRR869831,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205940,SRR869820,65,SRR869820,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205941,SRR869816,66,SRR869816,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205942,SRR869817,67,SRR869817,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
