BioProject,Run,Trips_id,file_name,study_name,study_srp,study_gse,PMID,organism,transcriptome
PRJNA205943,SRR869829,68,SRR869829,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205944,SRR869828,69,SRR869828,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205945,SRR869825,70,SRR869825,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205946,SRR869824,71,SRR869824,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205947,SRR869827,72,SRR869827,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205948,SRR869826,73,SRR869826,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205949,SRR869821,74,SRR869821,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205950,SRR869819,75,SRR869819,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205951,SRR869823,76,SRR869823,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA205952,SRR869822,77,SRR869822,Liu13,SRP023499,GSE47509,23812753,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA152495,SRR407274,78,SRR407274,Li12,SRP010825,GSE35641,22456704,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA152495,SRR407275,79,SRR407275,Li12,SRP010825,GSE35641,22456704,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA152495,SRR407276,80,SRR407276,Li12,SRP010825,GSE35641,22456704,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA152495,SRR407277,81,SRR407277,Li12,SRP010825,GSE35641,22456704,escherichia_coli,Ensembl_k_12_ASM584v2
PRJNA230577,SRR1042859,92,SRR1042859,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042858,93,SRR1042858,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042853,94,SRR1042853,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042857,95,SRR1042857,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042856,96,SRR1042856,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042855,97,SRR1042855,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042854,98,SRR1042854,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042871,99,SRR1042871,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042870,100,SRR1042870,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042873,101,SRR1042873,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042872,102,SRR1042872,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042875,103,SRR1042875,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042874,104,SRR1042874,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042877,105,SRR1042877,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042876,106,SRR1042876,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042879,107,SRR1042879,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042878,108,SRR1042878,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042862,109,SRR1042862,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042863,110,SRR1042863,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042860,111,SRR1042860,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042861,112,SRR1042861,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042866,113,SRR1042866,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042867,114,SRR1042867,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042864,115,SRR1042864,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042865,116,SRR1042865,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042880,117,SRR1042880,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042881,118,SRR1042881,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042868,119,SRR1042868,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA230577,SRR1042869,120,SRR1042869,Guydosh14,SRP033499,GSE52968,24581494,saccharomyces_cerevisiae,sgd
PRJNA285458,SRR2046317,123,SRR2046317,Young15,SRP058910,GSE69414,26276635,saccharomyces_cerevisiae,sgd
PRJNA285459,SRR2046316,124,SRR2046316,Young15,SRP058910,GSE69414,26276635,saccharomyces_cerevisiae,sgd
PRJNA285460,SRR2046315,125,SRR2046315,Young15,SRP058910,GSE69414,26276635,saccharomyces_cerevisiae,sgd
PRJNA285461,SRR2046314,126,SRR2046314,Young15,SRP058910,GSE69414,26276635,saccharomyces_cerevisiae,sgd
PRJNA285462,SRR2046313,127,SRR2046313,Young15,SRP058910,GSE69414,26276635,saccharomyces_cerevisiae,sgd
PRJNA285463,SRR2046312,128,SRR2046312,Young15,SRP058910,GSE69414,26276635,saccharomyces_cerevisiae,sgd
PRJNA285464,SRR2046311,129,SRR2046311,Young15,SRP058910,GSE69414,26276635,saccharomyces_cerevisiae,sgd
PRJNA285465,SRR2046310,130,SRR2046310,Young15,SRP058910,GSE69414,26276635,saccharomyces_cerevisiae,sgd
PRJNA285466,SRR2046309,131,SRR2046309,Young15,SRP058910,GSE69414,26276635,saccharomyces_cerevisiae,sgd
PRJNA285467,SRR2046319,132,SRR2046319,Young15,SRP058910,GSE69414,26276635,saccharomyces_cerevisiae,sgd
PRJNA285468,SRR2046318,133,SRR2046318,Young15,SRP058910,GSE69414,26276635,saccharomyces_cerevisiae,sgd
PRJNA285469,SRR2046320,134,SRR2046320,Young15,SRP058910,GSE69414,26276635,saccharomyces_cerevisiae,sgd
PRJNA285470,SRR1944962,137,SRR1944962,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944963,138,SRR1944963,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944960,139,SRR1944960,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944961,140,SRR1944961,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944966,141,SRR1944966,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944967,142,SRR1944967,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944964,143,SRR1944964,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944965,144,SRR1944965,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944968,145,SRR1944968,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944969,146,SRR1944969,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1945000,147,SRR1945000,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1945001,148,SRR1945001,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944971,149,SRR1944971,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944970,150,SRR1944970,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944973,151,SRR1944973,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944972,152,SRR1944972,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944975,153,SRR1944975,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944974,154,SRR1944974,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944977,155,SRR1944977,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944976,156,SRR1944976,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944979,157,SRR1944979,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944978,158,SRR1944978,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944940,159,SRR1944940,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944941,160,SRR1944941,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944948,161,SRR1944948,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944949,162,SRR1944949,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944953,163,SRR1944953,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944952,164,SRR1944952,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944951,165,SRR1944951,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944950,166,SRR1944950,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944922,167,SRR1944922,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944923,168,SRR1944923,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944920,169,SRR1944920,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944921,170,SRR1944921,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944939,171,SRR1944939,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944938,172,SRR1944938,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944937,173,SRR1944937,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944936,174,SRR1944936,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944988,175,SRR1944988,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944989,176,SRR1944989,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944980,177,SRR1944980,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944981,178,SRR1944981,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944982,179,SRR1944982,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944983,180,SRR1944983,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944984,181,SRR1944984,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944985,182,SRR1944985,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944986,183,SRR1944986,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944987,184,SRR1944987,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944917,185,SRR1944917,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944916,186,SRR1944916,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944915,187,SRR1944915,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944914,188,SRR1944914,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944913,189,SRR1944913,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944912,190,SRR1944912,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944919,191,SRR1944919,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944918,192,SRR1944918,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944999,193,SRR1944999,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944998,194,SRR1944998,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944997,195,SRR1944997,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944996,196,SRR1944996,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944995,197,SRR1944995,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944994,198,SRR1944994,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944993,199,SRR1944993,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944992,200,SRR1944992,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944991,201,SRR1944991,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA279785,SRR1944990,202,SRR1944990,Nedialkova15,SRP056647,GSE67387,26052047,saccharomyces_cerevisiae,sgd
PRJNA239467,SRR1177162,227,SRR1177162,Albert14,SRP038992,GSE55400,25340754,saccharomyces_cerevisiae,sgd
PRJNA239467,SRR1177163,228,SRR1177163,Albert14,SRP038992,GSE55400,25340754,saccharomyces_cerevisiae,sgd
PRJNA239467,SRR1177159,229,SRR1177159,Albert14,SRP038992,GSE55400,25340754,saccharomyces_cerevisiae,sgd
PRJNA239467,SRR1177157,230,SRR1177157,Albert14,SRP038992,GSE55400,25340754,saccharomyces_cerevisiae,sgd
PRJNA270712,SRR1722641,240,SRR1722641,Dhungel15,SRP051314,GSE64304,25533483,saccharomyces_cerevisiae,sgd
PRJNA270712,SRR1722638,241,SRR1722638,Dhungel15,SRP051314,GSE64304,25533483,saccharomyces_cerevisiae,sgd
PRJNA270712,SRR1722639,242,SRR1722639,Dhungel15,SRP051314,GSE64304,25533483,saccharomyces_cerevisiae,sgd
PRJNA270712,SRR1722640,243,SRR1722640,Dhungel15,SRP051314,GSE64304,25533483,saccharomyces_cerevisiae,sgd
PRJNA316463,SRR3296805,244,SRR3296805,Matsuo17,SRP072363,GSE79622,28757607,saccharomyces_cerevisiae,sgd
PRJNA316463,SRR3296804,245,SRR3296804,Matsuo17,SRP072363,GSE79622,28757607,saccharomyces_cerevisiae,sgd
PRJNA316463,SRR3296795,246,SRR3296795,Matsuo17,SRP072363,GSE79622,28757607,saccharomyces_cerevisiae,sgd
PRJNA316463,SRR3296797,247,SRR3296797,Matsuo17,SRP072363,GSE79622,28757607,saccharomyces_cerevisiae,sgd
PRJNA316463,SRR3296796,248,SRR3296796,Matsuo17,SRP072363,GSE79622,28757607,saccharomyces_cerevisiae,sgd
PRJNA316463,SRR3296801,249,SRR3296801,Matsuo17,SRP072363,GSE79622,28757607,saccharomyces_cerevisiae,sgd
PRJNA316463,SRR3296800,250,SRR3296800,Matsuo17,SRP072363,GSE79622,28757607,saccharomyces_cerevisiae,sgd
PRJNA316463,SRR3296803,251,SRR3296803,Matsuo17,SRP072363,GSE79622,28757607,saccharomyces_cerevisiae,sgd
PRJNA316463,SRR3296802,252,SRR3296802,Matsuo17,SRP072363,GSE79622,28757607,saccharomyces_cerevisiae,sgd
PRJNA316463,SRR3296799,253,SRR3296799,Matsuo17,SRP072363,GSE79622,28757607,saccharomyces_cerevisiae,sgd
PRJNA316463,SRR3296798,254,SRR3296798,Matsuo17,SRP072363,GSE79622,28757607,saccharomyces_cerevisiae,sgd
PRJNA316463,SRR3296806,255,SRR3296806,Matsuo17,SRP072363,GSE79622,28757607,saccharomyces_cerevisiae,sgd
PRJNA299254,SRR2732970,260,SRR2732970,Gawron16,SRP065022,GSE74279,26893308,homo_sapiens,Gencode_v25
PRJNA380795,SRR5382423,279,SRR5382423,Jakobsson17,SRP102616,GSE97140,28520920,homo_sapiens,Gencode_v25
PRJNA380795,SRR5382422,280,SRR5382422,Jakobsson17,SRP102616,GSE97140,28520920,homo_sapiens,Gencode_v25
PRJNA380795,SRR5382421,281,SRR5382421,Jakobsson17,SRP102616,GSE97140,28520920,homo_sapiens,Gencode_v25
PRJNA380795,SRR5382420,282,SRR5382420,Jakobsson17,SRP102616,GSE97140,28520920,homo_sapiens,Gencode_v25
PRJNA380795,SRR5382424,283,SRR5382424,Jakobsson17,SRP102616,GSE97140,28520920,homo_sapiens,Gencode_v25
PRJNA262009,SRR1585548,291,SRR1585548,Battle15,SRP047476,GSE61742,25657249,homo_sapiens,Gencode_v25
PRJNA262009,SRR1585488,292,SRR1585488,Battle15,SRP047476,GSE61742,25657249,homo_sapiens,Gencode_v25
PRJNA262009,SRR1585489,293,SRR1585489,Battle15,SRP047476,GSE61742,25657249,homo_sapiens,Gencode_v25
PRJNA262009,SRR1585486,294,SRR1585486,Battle15,SRP047476,GSE61742,25657249,homo_sapiens,Gencode_v25
PRJNA262009,SRR1585487,295,SRR1585487,Battle15,SRP047476,GSE61742,25657249,homo_sapiens,Gencode_v25
PRJNA262009,SRR1585552,296,SRR1585552,Battle15,SRP047476,GSE61742,25657249,homo_sapiens,Gencode_v25
