ribocrypt_id,BioProject,Organism,Run
PRJNA231536,PRJNA231536,Saccharomyces cerevisiae,SRR1049093
GSE91068,PRJNA356775,Saccharomyces cerevisiae,SRR5090936
GSE91068,PRJNA356775,Saccharomyces cerevisiae,SRR5090937
GSE87892,PRJNA348115,Saccharomyces cerevisiae,SRR4418656
GSE87892,PRJNA348115,Saccharomyces cerevisiae,SRR4418657
GSE87892,PRJNA348115,Saccharomyces cerevisiae,SRR4418658
GSE75322,PRJNA303186,Saccharomyces cerevisiae,SRR2954348
GSE75322,PRJNA303186,Saccharomyces cerevisiae,SRR2954349
GSE75322,PRJNA303186,Saccharomyces cerevisiae,SRR2954350
GSE75322,PRJNA303186,Saccharomyces cerevisiae,SRR2954351
GSE75322,PRJNA303186,Saccharomyces cerevisiae,SRR2954352
GSE75322,PRJNA303186,Saccharomyces cerevisiae,SRR2954353
GSE75322,PRJNA303186,Saccharomyces cerevisiae,SRR2954354
GSE75322,PRJNA303186,Saccharomyces cerevisiae,SRR2954355
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000288
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000289
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000290
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000291
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000292
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000293
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000298
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000299
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000300
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000301
GSE63789,PRJNA269069,Saccharomyces cerevisiae,SRR1688545
GSE63789,PRJNA269069,Saccharomyces cerevisiae,SRR1688546
GSE63789,PRJNA269069,Saccharomyces cerevisiae,SRR1688547
GSE63789,PRJNA269069,Saccharomyces cerevisiae,SRR1688548
GSE63789,PRJNA269069,Saccharomyces cerevisiae,SRR1688549
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829316
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829317
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829318
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829319
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829320
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829321
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829322
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829323
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829324
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829325
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829326
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829327
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829328
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829329
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829330
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829331
