ribocrypt_id,BioProject,Organism,Run
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829332
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829333
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829334
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829335
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829336
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829337
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR3987442
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363412
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363413
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363414
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363415
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363416
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363417
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363418
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363419
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363420
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363421
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363422
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363423
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042853
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042854
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042855
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042856
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042857
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042858
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042859
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042860
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042861
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042862
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042863
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042864
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042865
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042866
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042867
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042868
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042869
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042874
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042875
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042876
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042877
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042878
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042879
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042880
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042881
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945920
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945921
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945922
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945923
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945924
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945925
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945926
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945927
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945928
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945929
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945930
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945931
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945932
GSE51164,PRJNA221377,Saccharomyces cerevisiae,SRR1002819
GSE51164,PRJNA221377,Saccharomyces cerevisiae,SRR1002820
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398737
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398738
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398739
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398740
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398741
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398742
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398743
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398744
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398745
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398746
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398747
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398748
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398749
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398750
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398751
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398752
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398753
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398754
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398755
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398756
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398757
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398758
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398759
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398760
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398761
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398762
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398763
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398764
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398765
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398766
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398767
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398768
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398769
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398770
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398771
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398772
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398773
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398774
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398775
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398776
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398777
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398778
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398779
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398780
GSE81966,PRJNA323510,Saccharomyces cerevisiae,SRR3591804
GSE81966,PRJNA323510,Saccharomyces cerevisiae,SRR3591805
GSE81966,PRJNA323510,Saccharomyces cerevisiae,SRR3591806
GSE81966,PRJNA323510,Saccharomyces cerevisiae,SRR3591807
GSE81966,PRJNA323510,Saccharomyces cerevisiae,SRR3591812
GSE81966,PRJNA323510,Saccharomyces cerevisiae,SRR3591813
GSE81966,PRJNA323510,Saccharomyces cerevisiae,SRR3591814
GSE81966,PRJNA323510,Saccharomyces cerevisiae,SRR3591815
GSE89704,PRJNA352976,Saccharomyces cerevisiae,SRR5008134
GSE89704,PRJNA352976,Saccharomyces cerevisiae,SRR5008135
GSE89704,PRJNA352976,Saccharomyces cerevisiae,SRR5008136
GSE89704,PRJNA352976,Saccharomyces cerevisiae,SRR5008137
GSE89704,PRJNA352976,Saccharomyces cerevisiae,SRR5008138
GSE89704,PRJNA352976,Saccharomyces cerevisiae,SRR5008139
GSE89704,PRJNA352976,Saccharomyces cerevisiae,SRR5335874
GSE89704,PRJNA352976,Saccharomyces cerevisiae,SRR5335875
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055102
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055103
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055104
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055105
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055106
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055107
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055108
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055109
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055110
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055111
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055112
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055113
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055114
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055115
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055116
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055117
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055118
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055119
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055120
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055121
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055122
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055123
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055124
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055125
GSE55400,PRJNA239467,Saccharomyces cerevisiae,SRR1177157
GSE55400,PRJNA239467,Saccharomyces cerevisiae,SRR1177159
GSE55400,PRJNA239467,Saccharomyces cerevisiae,SRR1177162
GSE55400,PRJNA239467,Saccharomyces cerevisiae,SRR1177163
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014368
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014369
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014370
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014371
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014372
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014373
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014374
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014375
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014376
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014377
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014378
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014379
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014380
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014381
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822445
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822446
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822447
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822448
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822453
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822454
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822455
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822456
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822461
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822462
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822463
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822464
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822469
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822470
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822471
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822472
GSE41590,PRJNA177820,Saccharomyces cerevisiae,SRR1190356
GSE41590,PRJNA177820,Saccharomyces cerevisiae,SRR1190357
GSE41590,PRJNA177820,Saccharomyces cerevisiae,SRR1190358
GSE41590,PRJNA177820,Saccharomyces cerevisiae,SRR1190359
GSE41590,PRJNA177820,Saccharomyces cerevisiae,SRR594900
GSE41590,PRJNA177820,Saccharomyces cerevisiae,SRR594901
GSE41590,PRJNA177820,Saccharomyces cerevisiae,SRR594902
GSE41590,PRJNA177820,Saccharomyces cerevisiae,SRR594903
GSE45366,PRJNA193543,Saccharomyces cerevisiae,SRR788070
GSE45366,PRJNA193543,Saccharomyces cerevisiae,SRR788071
GSE45366,PRJNA193543,Saccharomyces cerevisiae,SRR788072
GSE45366,PRJNA193543,Saccharomyces cerevisiae,SRR788073
GSE45366,PRJNA193543,Saccharomyces cerevisiae,SRR788074
GSE45366,PRJNA193543,Saccharomyces cerevisiae,SRR788075
GSE45366,PRJNA193543,Saccharomyces cerevisiae,SRR788076
GSE45366,PRJNA193543,Saccharomyces cerevisiae,SRR788077
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944912
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944913
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944914
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944915
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944916
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944917
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944918
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944919
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944920
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944921
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944922
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944923
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944936
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944937
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944938
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944939
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944940
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944941
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944948
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944949
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944950
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944951
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944952
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944953
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944960
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944961
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944962
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944963
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944964
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944965
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944966
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944967
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944968
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944969
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944970
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944971
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944972
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944973
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944974
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944975
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944976
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944977
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944978
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944979
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944980
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944981
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944982
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944983
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944984
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944985
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944986
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944987
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944988
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944989
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944990
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944991
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944992
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944993
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944994
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944995
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944996
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944997
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944998
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944999
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1945000
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1945001
GSE64304,PRJNA270712,Saccharomyces cerevisiae,SRR1722638
GSE64304,PRJNA270712,Saccharomyces cerevisiae,SRR1722639
GSE64304,PRJNA270712,Saccharomyces cerevisiae,SRR1722640
GSE64304,PRJNA270712,Saccharomyces cerevisiae,SRR1722641
GSE53313,PRJNA231673,Saccharomyces cerevisiae,SRR1049521
GSE85036,PRJNA336005,Saccharomyces cerevisiae,SRR3991716
GSE85036,PRJNA336005,Saccharomyces cerevisiae,SRR3991717
GSE85036,PRJNA336005,Saccharomyces cerevisiae,SRR3991718
GSE85036,PRJNA336005,Saccharomyces cerevisiae,SRR3991719
GSE34438,PRJNA156379,Saccharomyces cerevisiae,SRR389612
GSE34438,PRJNA156379,Saccharomyces cerevisiae,SRR389613
GSE34438,PRJNA156379,Saccharomyces cerevisiae,SRR389614
GSE34438,PRJNA156379,Saccharomyces cerevisiae,SRR389615
GSE34438,PRJNA156379,Saccharomyces cerevisiae,SRR389616
GSE34438,PRJNA156379,Saccharomyces cerevisiae,SRR389617
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562873
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562874
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562875
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562876
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562877
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562878
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562879
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562880
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562881
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562882
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562883
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562884
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562885
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562886
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562887
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562888
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562889
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562890
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562891
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562892
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562893
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562894
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562895
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562896
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562897
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562898
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562899
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562900
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562901
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562902
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562903
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562904
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562905
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562906
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562907
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562908
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562909
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562910
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562911
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562912
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562913
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562914
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562915
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562916
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562917
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562918
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562919
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562920
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562921
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562922
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562923
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562924
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562925
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562926
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562927
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562928
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188591
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188594
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188597
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188600
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188601
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188602
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188605
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188606
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188609
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188610
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188613
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188614
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188617
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188618
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188621
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188622
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188625
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188626
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188627
GSE93830,PRJNA362545,Saccharomyces cerevisiae,SRR5188628
GSE56622,PRJNA244101,Saccharomyces cerevisiae,SRR1223686
GSE56622,PRJNA244101,Saccharomyces cerevisiae,SRR1223687
GSE56622,PRJNA244101,Saccharomyces cerevisiae,SRR1223688
GSE56622,PRJNA244101,Saccharomyces cerevisiae,SRR1223697
